Generic Name,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota,MAL_Brands
Atropine Sulphate 1mg/ml Injection,Alimentary Tract and Metabolism > Drugs for Functional Gastrointestinal Disorders,A03BA01-183-P30-01-XXX,Yes,APPL,B,"i) Reduce vagal inhibition,salivary and bronchiol secretion in anaesthesia ii) Reversal of excessive bradycardia iii) Reversal of effect of competitive muscle relaxants iv) Overdosage with other compounds having muscarinic action v) Organophosphate poisoning",,"i) Adult: 300-600 mcg IM/SC 30-60 minutes before anaesthesia. Alternatively, 300-600 mcg IV immediately before induction of anaesthesia. Child: >20 kg: 300-600 mcg; 12-16 kg: 300 mcg; 7-9 kg: 200 mcg; >3 kg: 100 mcg. Doses to be given via IM/SC admin 30-60 minutes before anaesthesia. ii) Adult: 500 mcg every 3-5 minutes. Total: 3 mg. Max Dosage: 0.04 mg/kg body weight. iii) Adult 0.6-1.2 mg before or with anticholinesterase iv) Adult: 0.6-1 mg IV/IM/SC, repeated every 2 hr. v) Adult: 2 mg IV/IM, every 10-30 minutes until muscarinic effects disappear or atropine toxicity appears. In severe cases, dose can be given as often as every 5 minutes. In moderate to severe poisoning, a state of atropinisation is maintained for at least 2 days and continued for as long as symptoms are present. Child: 20 mcg/kg given every 5-10 minutes.","Dry mouth, dysphagia, constipation, flushing and dryness of skin, tachycardia, palpitations, arrhythmias, mydriasis, photophobia, cycloplegia, raised intraocular pressure. Toxic doses cause tachycardia, hyperpyrexia, restlessness, confusion, excitement, hallucinations, delirium and may progress to circulatory failure and resp depression. Potentially Fatal: Atrial arrhythmias, AV dissociation, multiple ventricular ectopi.","Glaucoma, chronic respiratory disease, sick sinus syndrome, thyrotoxicosis, cardiac failure, pyloric stenosis, prostatic hypertrophy.","Additive anticholinergic effects with quinidine, antidepressants and some antihistamines.","Reflux oesophagitis, elderly, infants and children. Pregnancy.",FALSE,
Azithromycin 250 mg Tablet,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01FA10-011-T10-01-XX,Yes,LP,"A*, A/KK",PRESCRIBER CATEGORY A*: (i) Treatment of complicated respiratory tract infections; (ii) Prophylaxis against Mycobacterium avium complex in patients with advanced HIV PRESCRIBER CATEGORY A/KK: (iii) Adult treatment of uncomplicated genital infections due to Chlamydia trichomatis or susceptible Neisseria gonorrhoea. (iv) Treatment of pertussis,A/KK,i) 500 mg daily for 3 days; ii) 1 g weekly iii) 1 g as a single dose; iv) 500mg in a single dose on day 1 then 250mg per day on days 2-5,"Nausea, abdominal discomfort, vomiting, flatulence, diarrhoea & loose stools. Hearing impairment, interstitial nephritis, acute renal failure, abnormal liver function, dizziness & vertigo, convulsions, headache, somnolence. Cardiac disorders: palpitations, arrhythmia, supraventricular tachycardia, QT prolongation, torsades de pointes. Skin and subcutaneous tissue disorders: allergic reactions, erythema multiforme, Steven-Johnson Syndrome, toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms (DRESS), Severe cutaneous adverse reactions (SCARs). NPRA Safety Alert 1. 24 April 2025 Rare Risk of Cardiovascular Death",Known hypersensitivity to azithromycin or any of the macrolides,"Antacids, ergot derivatives. Monitor patients on concurrent warfarin, digoxin or cIclosporin","Moderate or severe renal impairment, liver impairment, pregnancy & lactation",FALSE,
Baclofen 10mg Tablet,Musculo-skeletal System > Muscle Relaxants,M03BX01-000-T10-01-XXX,No,APPL,B,Spasticity of the skeletal muscle,,"ADULT:5 mg 3 times daily. Max: 80 mg daily (20mg 4 times a day). CHILD: starting dose: 0.3mg/kg/day in divided dose, titrate up cautiously in 1 -2 weeks interval. Usual maintenance dose: 0.75 - 2 mg/kg daily (age more than 10 years, maximum: 2.5 mg/kg daily). The dose should not exceed 40 mg/day in children below 8 years of age, but a maximum dose of 60 mg/day may be given in children over 8 years of age. Dosing is individualised and according to product insert/protocol","Daytime sedation, drowsiness, nausea and other central nervous system disorders, gastrointestinal disturbances, dysuria, frequency of micturition, enuresis or retention of urine, respiratory depression","Epilepsy and other convulsive conditions, corticol or subcorticol brain damage, peptic ulceration, known hypersensitivity to baclofen","Tricyclics and lithium enhance muscle relaxant effect, ACE inhibitor, diuretics and antihypertensives enhance hypotensive effect. Sedative effect enhanced with alcohol, anxiolytics and hypnotics. Excretion reduced by ibuprofen and possibly other NSAIDs","Pregnancy, patients suffering not only from spasticity but also from psychotic disorders, schizophrenia or confusional states, epilepsy, cerebrovascular or respiratory insufficiency. Central nervous system depressants, antihypertensives, levodopa. Caution in road users. Avoid abrupt discontinuation",FALSE,
BCG Vaccine Freeze-Dried Injection,Antiinfectives for Systemic Use > Vaccines,J07AN01-000-P40-01-XXX,Yes,APPL,C+,For the prevention of tuberculosis.,,0.05 to 0.1 ml by intradermal. Dosing is according to Immunisation Schedule under NIP.,"Superficial, self healing ulceration, injection site reaction, lymphadenopathy","Congenital or acquired cell-mediated immune deficiencies (including HIV), patients with systemic corticosteroid/ immunosuppressive treatment, malignant condition, pyrexia, generalised infected dermatoses, organ abnormalities, pregnancy.",Not known,"Children born to HIV positive mothers, pregnancy",FALSE,
Benzathine Penicillin 2.4 MIU (1.8 g) Injection,Antiinfectives for Systemic Use > Antibacterials for Systemic Use,J01CE08-702-P40-01-XXX,Yes,APPL,B,i) Treatment of mild to moderately severe infections due to Penicillin G-sensitive organisms ii) Treatment of syphillis,,i) ADULT: 1.2 mega units IM ii) For syphillis: 2.4 mega units weekly for 1 - 3 weeks,"Allergic reactions, glossitis, stomatitis, haemolytic anaemia, leucopenia, thrombocytopenia, agranulocytosis, neuropathy, nephropathy, Jarisch-Herxheimer reactions secondary to bacteriolysis. CNS toxicity including convulsions; diarrhoea; antibiotic-associated colitis. Potentially Fatal: Anaphylaxis.","Hypersensitivity to penicillins& cephalosporins. Severe pneumonia, empyema, sepsis, pericarditis, meningitis, peritonitis or arthritis requiring high dose of penicillin levels, bronchial asthma","Bacteriostatic antibiotics, anti-inflammatory, antirheumatics, antipyretics, probenecids, oral contraceptives","Diabetes. Not for SC, IV or intralumbarly or into body cavities. Impaired renal function, infants, elderly, hypersensitivity to cephalosporins. Very high doses in poor renal function (risk of neurotoxicity) or heart failure. Avoid contact, skin sensitization may occur. Monitor serum potassium concentration, renal and haematological status.",FALSE,
Benzhexol 2 mg Tablet,Nervous System > Anti-parkinson Drugs,N04AA01110T1001XX,Yes,APPL,B,"i) Symptomatic treatment of paralysis agitans and of parkinsonism, arteriosclerotic, idiopathic, or post-encephalitic origin ii) Alleviate extrapyramidal syndrome induced by phenothiazine derivatives or reserpine iii) Spasmodic torticollis, facial spasms and other dyskinesia",,i) & iii) Initial: 1-2mg daily Maintenance: Gradual increment to 6-10mg daily according to response ii) 5-15mg daily Dosing is individualised and according to product insert / protocol.,"Severe mental disturbances, confusion, drowsiness, restlessness, hallucinations, excitement, nausea and vomiting, dry mouth, blurring of vision, constipation, urinary retention, glaucoma","Children under 3 years, narrow-angle glaucoma, closed-angle glaucoma, tardive dyskinesias, prostatic enlargement, paralytic ileus, chronic pulmonary disease, sick sinus syndrome, thyrotoxicosis, cardiac failure with tachycardia.",Alcohol and central nervous system depressants may increase the sedative effect of benzhexol. Delayed absorption of other oral drugs,"Autonomic neuropathy, heart disease, hepatic or renal disease, hyperthyroidism, paediatric, elderly, potential for abuse, prostatic hypertrophy, glaucoma, obstructive disease of gastrointestinal or genitourinary, pregnancy and lactation. Use with caution in patients with ileostomy or colostomy. Avoid driving or hazardous activities. Monitor intraocular pressure",FALSE,
Benzoyl Peroxide 5% Gel,Dermatologicals > Anti-acne Preparations,D10AE01241G3001XX,Yes,LP,B,Mild to moderate acne vulgaris,,Apply 1-2 times daily preferably after washing with soap and water,"Burning or stinging contact dermatitis, redness, Excessive drying of skin. Skin discoloration; skin rash, peeling, transient local oedema.",Hypersensitivity to benzoyl peroxide products,Not known,"Avoid contact with eyes, mouth and other mucous membranes. May bleach dyed clothing and fabrics. Avoid unnecessary sun exposure",FALSE,
Benzyl Benzoate 25 % Emulsion (Adult),"Antiparasitic Products, Insecticides and Repellents > Antiprotozoals",P03AX01000L2002XX,Yes,APPL,C+,Scabies for adult and children more than 12 years old.,,"After bath, apply over the whole body, neck down and leave on for 24 hours then wash off. Reapply for another 24 hours, the first repeat application should be within 5 days of the initial application, a third application may be required in some cases.","May be irritant to the skin of some patients, burning sensation especially on genitalia and excoriations occasionally rashes, stinging and contact dermatitis, local irritation, particularly in children, splash contact with benzyl benzoate may produce irritation to the eyes and mucous membranes",Hypersensitivity to benzyl benzoate,Not known,"Contact with mucous membranes, head, face, broken or inflammed skin, avoid contact with eyes. Not recommended for children, lactation (withhold during treatment)",FALSE,
Betamethasone 17-Valerate 0.01-0.05% Cream,"Dermatologicals > Corticosteroids, Dermatological Preparations",D07AC01-256-G10-01-XXX,Yes,APPL,B,Topical corticosteroid indicated for the relief of inflammatory and pruritic manifestation of steroid-responsive dermatoses.,,Apply sparingly to affected area 2 times daily then reduced to once daily when improvement occurs.,"Local skin atrophy, striae, systemic hypercorticism, folliculitis, hypertrichosis, acneiform eruptions, hypopigmentation and allergic contact dermatitis","Viral diseases, bacteria and fungal infection, acne, rosacea and perioral dermatitis. Hypersensitivity to betamethasone products",Not known,"Extensive or prolonged use, pregnancy, infant and children less than 4 years. Avoid contact with eyes",FALSE,
Bisacodyl 10mg Suppository,Alimentary Tract and Metabolism > Drugs for Constipation,A06AB02-000-S20-02-XXX,Yes,APPL,C,i) Constipation ii) Bowel preparation for radiological procedures and surgery,,i) ADULT and CHILD (over 10 years): 10 mg per rectal; CHILD (4 to 10 years): 5 mg per rectal. ii) ADULT and CHILD (over 10 years: )10 to 20 mg; CHILD (4 to 10 years): 5 mg the following morning before procedures insert rectally,"Rarely,electrolyte and fluid imblances, abdominal discomfort, diarrhoea, rectal burning, vomiting","Ileus, intestinal obstruction, acute abdominal conditions, rectal bleeding, appendicitis","Milk, antacids, warfarin","Prolonged use, abdominal pain, inflammatory bowel disease, sudden, persistent change in bowel habits and ulcerated haemorrhoids of rectal fissures",FALSE,
Bisacodyl 5 mg Tablet,Alimentary Tract and Metabolism > Drugs for Constipation,A06AB02-000-T10-01-XXX,Yes,LP,C,i) Constipation ii) Bowel preparation for radiological procedures and surgery,,i) ADULT and CHILD (over 10 years): 5 to 10 mg; CHILD (4 to 10 years): 5 mg. To be taken at night for effect on the following morning. ii) ADULT and CHILD (over 10 years): 10 mg in the morning and 10 mg in the evening the day before procedures; CHILD (4 to 10 years): 5 mg the night before procedures.,"Rarely,electrolyte and fluid imblances, abdominal discomfort, diarrhoea, rectal burning, vomiting","Ileus, intestinal obstruction, acute abdominal conditions, rectal bleeding, appendicitis","Milk, antacids, warfarin","Prolonged use, abdominal pain, inflammatory bowel disease, sudden, persistent change in bowel habits",FALSE,MAL16075026A
Bisoprolol Fumarate 2.5 mg Tablet,Cardiovascular System > Beta Blocking Agents,C07AB07-000-T10-01-XXX,Yes,APPL,B,i) Hypertension ii)Coronary heart disease (angina pectoris) iii) Treatment of stable congestive cardiac failure in addition to ACEI's and diuretics,,"1.25 mg once daily, gradually titrate to maximum tolerable dose (i) & (ii): Max: 20mg/ day (iii): Max 10mg/ day","Arrythmia, bradycardia, chest pain, oedema, hypotension, dizziness, headache, fatique, diarrhoea, nausea, impotency, cough, rhinitis","Hypersensitivity, cardiac failure, pulmonary oedema, pregnancy, severe asthma or severe chronic obstructive pulmonary disease, hypotension","Prazosin, digoxin, amiodarone, ACEI, antidiabetic agent, calcitriol, cholestyramine, clonidine","Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus, hyperthyroidism/thyrotoxicosis. Peripheral vascular and renal disease",FALSE,
Bisoprolol Fumarate 5 mg Tablet,Cardiovascular System > Beta Blocking Agents,C07AB07-000-T10-02-XXX,Yes,APPL,B,i) Hypertension ii)Coronary heart disease (angina pectoris) iii) Treatment of stable congestive cardiac failure in addition to ACEI's and diuretics,,"1.25 mg once daily, gradually titrate to maximum tolerable dose (i) & (ii): Max: 20mg/ day (iii): Max 10mg/ day","Arrythmia, bradycardia, chest pain, oedema, hypotension, dizziness, headache, fatique, diarrhoea, nausea, impotency, cough, rhinitis","Hypersensitivity, cardiac failure, pulmonary oedema, pregnancy, severe asthma or severe chronic obstructive pulmonary disease, hypotension","Prazosin, digoxin, amiodarone, ACEI, antidiabetic agent, calcitriol, cholestyramine, clonidine","Avoid abrupt withdrawal; gradual withdrawal over a period of 1 to 2 weeks is recommended. Bronchospastic disease, congestive heart failure, diabetes mellitus, hyperthyroidism/thyrotoxicosis. Peripheral vascular and renal disease",FALSE,
